"ChineseName","ModelBase","ModelSource","IndexCount","IndexSources","ZipPath"
"未命名模型 5555","5555","D:\ProgramData\svc\RVC1006Nvidia\assets\weights\5555.pth","0","",""
"紫阳花","Ajisai","D:\ProgramData\svc\RVC1006Nvidia\assets\weights\Ajisai.pth","1","D:\ProgramData\svc\RVC1006Nvidia\logs\added_IVF139_Flat_nprobe_1_Ajisai_v2.index",""
"大筒木阿修罗","Ashura","D:\ProgramData\svc\RVC1006Nvidia\assets\weights\Ashura.pth","1","D:\ProgramData\svc\RVC1006Nvidia\logs\added_IVF135_Flat_nprobe_1_Ashura_v2.index",""
"猿飞阿斯玛","Asuma","D:\ProgramData\svc\RVC1006Nvidia\assets\weights\Asuma.pth","1","D:\ProgramData\svc\RVC1006Nvidia\logs\added_IVF325_Flat_nprobe_1_Asuma_v2.index",""
"巴托洛米奥","Bartolomeo (One Piece) ","D:\ProgramData\svc\RVC1006Nvidia\assets\weights\Bartolomeo (One Piece) .pth","1","D:\ProgramData\svc\RVC1006Nvidia\logs\Bartolomeo (One Piece) .index",""
"漩涡博人","Boruto","D:\ProgramData\svc\RVC1006Nvidia\assets\weights\Boruto.pth","1","D:\ProgramData\svc\RVC1006Nvidia\logs\added_IVF1431_Flat_nprobe_1_Boruto_v2.index",""
"达鲁伊","Darui","D:\ProgramData\svc\RVC1006Nvidia\assets\weights\Darui.pth","1","D:\ProgramData\svc\RVC1006Nvidia\logs\added_IVF222_Flat_nprobe_1_Darui_v2.index",""
"达鲁伊 11","Darui11","D:\ProgramData\svc\RVC1006Nvidia\assets\weights\Darui11.pth","0","",""
"迪达拉 1","Deidara1 (1)","D:\ProgramData\svc\RVC1006Nvidia\assets\weights\Deidara1 (1).pth","1","D:\ProgramData\svc\RVC1006Nvidia\logs\added_IVF333_Flat_nprobe_1_Deidara1_v2.index",""
"迪达拉 2","Deidara2","D:\ProgramData\svc\RVC1006Nvidia\assets\weights\Deidara2.pth","1","D:\ProgramData\svc\RVC1006Nvidia\logs\added_IVF206_Flat_nprobe_1_Deidara2_v2.index",""
"法尼·瓦伦泰","Funny Valentine","D:\ProgramData\svc\RVC1006Nvidia\assets\weights\Funny Valentine.pth","1","D:\ProgramData\svc\RVC1006Nvidia\logs\Funny Valentine.index",""
"我爱罗","Gaara","D:\ProgramData\svc\RVC1006Nvidia\assets\weights\Gaara.pth","1","D:\ProgramData\svc\RVC1006Nvidia\logs\added_IVF1031_Flat_nprobe_1_Gaara_v2.index",""
"五条悟","gojo","D:\ProgramData\svc\RVC1006Nvidia\assets\weights\gojo.pth","1","D:\ProgramData\svc\RVC1006Nvidia\logs\gojo.index",""
"关关 V1","guanguanV1","D:\ProgramData\svc\RVC1006Nvidia\assets\weights\guanguanV1.pth","1","D:\ProgramData\svc\RVC1006Nvidia\logs\guanguanV1.index",""
"迈特凯","Guy","D:\ProgramData\svc\RVC1006Nvidia\assets\weights\Guy.pth","2","D:\ProgramData\svc\RVC1006Nvidia\logs\added_IVF412_Flat_nprobe_1_Guy_v2.indexD:\ProgramData\svc\RVC1006Nvidia\logs\guy.index",""
"迈特凯 V1y","guyV1y","D:\ProgramData\svc\RVC1006Nvidia\assets\weights\guyV1y.pth","0","",""
"千手柱间","Hashirama","D:\ProgramData\svc\RVC1006Nvidia\assets\weights\Hashirama.pth","1","D:\ProgramData\svc\RVC1006Nvidia\logs\Hashirama.index",""
"月光疾风","Hayate","D:\ProgramData\svc\RVC1006Nvidia\assets\weights\Hayate.pth","1","D:\ProgramData\svc\RVC1006Nvidia\logs\added_IVF340_Flat_nprobe_1_Hayate_v2.index",""
"飞段","Hidan","D:\ProgramData\svc\RVC1006Nvidia\assets\weights\Hidan.pth","1","D:\ProgramData\svc\RVC1006Nvidia\logs\added_IVF1284_Flat_nprobe_1_Hidan_v2.index",""
"日向雏田","Hinata","D:\ProgramData\svc\RVC1006Nvidia\assets\weights\Hinata.pth","1","D:\ProgramData\svc\RVC1006Nvidia\logs\Hinata.index",""
"猿飞日斩 1","Hiruzen1","D:\ProgramData\svc\RVC1006Nvidia\assets\weights\Hiruzen1.pth","1","D:\ProgramData\svc\RVC1006Nvidia\logs\added_IVF209_Flat_nprobe_1_Hiruzen1_v2.index",""
"猿飞日斩","Hiruzen150","D:\ProgramData\svc\RVC1006Nvidia\assets\weights\Hiruzen150.pth","1","D:\ProgramData\svc\RVC1006Nvidia\logs\added_IVF768_Flat_nprobe_1_Hiruzen_v2.index",""
"猿飞日斩 hzj","hzj","D:\ProgramData\svc\RVC1006Nvidia\assets\weights\hzj.pth","0","",""
"大筒木因陀罗","Indora","D:\ProgramData\svc\RVC1006Nvidia\assets\weights\Indora.pth","1","D:\ProgramData\svc\RVC1006Nvidia\logs\added_IVF183_Flat_nprobe_1_Indora_v2.index",""
"大筒木一式","Isshiki","D:\ProgramData\svc\RVC1006Nvidia\assets\weights\Isshiki.pth","1","D:\ProgramData\svc\RVC1006Nvidia\logs\Isshiki.index",""
"宇智波鼬","Itachi","D:\ProgramData\svc\RVC1006Nvidia\assets\weights\Itachi.pth","1","D:\ProgramData\svc\RVC1006Nvidia\logs\Itachi.index",""
"自来也","Jiraiya","D:\ProgramData\svc\RVC1006Nvidia\assets\weights\Jiraiya.pth","1","D:\ProgramData\svc\RVC1006Nvidia\logs\added_IVF1028_Flat_nprobe_1_Jiraiya_v2.index",""
"小丑","JOKER","D:\ProgramData\svc\RVC1006Nvidia\assets\weights\JOKER.pth","1","D:\ProgramData\svc\RVC1006Nvidia\logs\JOKER.index",""
"空条徐伦","Jolyne Cujoh","D:\ProgramData\svc\RVC1006Nvidia\assets\weights\Jolyne Cujoh.pth","1","D:\ProgramData\svc\RVC1006Nvidia\logs\Jolyne Cujoh.index",""
"药师兜","Kabuto","D:\ProgramData\svc\RVC1006Nvidia\assets\weights\Kabuto.pth","1","D:\ProgramData\svc\RVC1006Nvidia\logs\added_IVF785_Flat_nprobe_1_Kabuto_v2.index",""
"大筒木辉夜","Kaguya","D:\ProgramData\svc\RVC1006Nvidia\assets\weights\Kaguya.pth","0","",""
"旗木卡卡西","Kakashi Hatake","D:\ProgramData\svc\RVC1006Nvidia\assets\weights\Kakashi Hatake.pth","2","D:\ProgramData\svc\RVC1006Nvidia\logs\added_IVF2576_Flat_nprobe_1_Kakashi_v2.indexD:\ProgramData\svc\RVC1006Nvidia\logs\added_IVF546_Flat_nprobe_1_Kakashi Hatake_v2.index",""
"角都","Kakuzu","D:\ProgramData\svc\RVC1006Nvidia\assets\weights\Kakuzu.pth","1","D:\ProgramData\svc\RVC1006Nvidia\logs\Kakuzu.index",""
"香燐","Karin","D:\ProgramData\svc\RVC1006Nvidia\assets\weights\Karin.pth","1","D:\ProgramData\svc\RVC1006Nvidia\logs\added_IVF501_Flat_nprobe_1_Karin_v2.index",""
"川木","Kawaki","D:\ProgramData\svc\RVC1006Nvidia\assets\weights\Kawaki.pth","1","D:\ProgramData\svc\RVC1006Nvidia\logs\added_IVF1369_Flat_nprobe_1_Kawaki_v2.index",""
"可然 V1","keruanV1","D:\ProgramData\svc\RVC1006Nvidia\assets\weights\keruanV1.pth","1","D:\ProgramData\svc\RVC1006Nvidia\logs\keruanV1.index",""
"琪琪 V1","kikiV1","D:\ProgramData\svc\RVC1006Nvidia\assets\weights\kikiV1.pth","1","D:\ProgramData\svc\RVC1006Nvidia\logs\kikiV1.index",""
"干柿鬼鲛","Kisame","D:\ProgramData\svc\RVC1006Nvidia\assets\weights\Kisame.pth","1","D:\ProgramData\svc\RVC1006Nvidia\logs\Kisame.index",""
"犬冢牙","Kiva","D:\ProgramData\svc\RVC1006Nvidia\assets\weights\Kiva.pth","1","D:\ProgramData\svc\RVC1006Nvidia\logs\Kiva.index",""
"犬冢牙 0","kiva0","D:\ProgramData\svc\RVC1006Nvidia\assets\weights\kiva0.pth","1","D:\ProgramData\svc\RVC1006Nvidia\logs\kiva0.index",""
